formula,pressure,Tc_list,Tc_mean,Tc_std,method,ref
TiH22,350.0,"[93.6, 67.3]",80.44999999999999,13.149999999999999,comput,"['[10.1103/PhysRevB.101.134108]', '[10.1103/PhysRevB.101.134108]']"
AsHLi3,0.0,['2.36'],2.36,0.0,comput,['[10.1038/s41524-022-00817-4]']
NaH9,500.0,"[256.0, 218.0, 269.0, 235.0]",244.5,19.525624189766635,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
TlHLi3,0.0,['5.7'],5.7,0.0,comput,['[10.1038/s41524-022-00817-4]']
SiHV3,0.0,['7.5'],7.5,0.0,comput,['[10.1038/s41524-022-00817-4]']
YCeH20,300.0,['114.2'],114.2,0.0,comput,['[10.1016/j.mtphys.2022.100873]']
NaH5,300.0,"[144.0, 121.0, 164.0, 138.0]",141.75,15.368392889303683,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
CdHLi3,0.0,['3.43'],3.43,0.0,comput,['[10.1038/s41524-022-00817-4]']
MgH13,200.0,"[210.0, 179.0, 224.0, 196.0]",202.25,16.67895380412093,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
MgH13,500.0,"[275.0, 239.0, 287.0, 257.0]",264.5,18.186533479473212,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
SH3,200.0,"[203.0, 173.0, 219.0, 196.0]",197.75,16.543503256565703,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
AcH12,200.0,"[231.0, 197.0, 280.0, 245.0]",238.25,29.76050234791073,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
AcH12,300.0,[83.8],83.8,0.0,comput,['[10.1021/acs.jpclett.8b00615]']
AcH12,150.0,[123.3],123.3,0.0,comput,['[10.1021/acs.jpclett.8b00615]']
VH2,0.0,['0.5'],0.5,0.0,comput,['[10.1063/1.4866179]']
VH2,60.0,[4.0],4.0,0.0,comput,['[10.1063/1.4866179]']
VH2,200.0,[6.12],6.12,0.0,comput,['[10.1021/acs.inorgchem.7b01686]']
B2H6,360.0,[125.0],125.0,0.0,comput,['[10.1103/PhysRevB.84.104118]']
H4I,160.0,[8.8],8.8,0.0,comput,['[10.1039/c5cp05218a]']
H4I,100.0,[17.5],17.5,0.0,comput,['[10.1021/acs.jpclett.5b01839]']
H4I,200.0,[9.57],9.57,0.0,comput,['[10.1039/c5cp05218a]']
H4I,300.0,[12.48],12.48,0.0,comput,['[10.1039/c5cp05218a]']
H4I,150.0,[20.4],20.4,0.0,comput,['[10.1021/acs.jpclett.5b01839]']
H4I,120.0,[9.92],9.92,0.0,comput,['[10.1039/c5cp05218a]']
H4I,250.0,[11.26],11.26,0.0,comput,['[10.1039/c5cp05218a]']
AsHTi3,0.0,['10.44'],10.44,0.0,comput,['[10.1038/s41524-022-00817-4]']
CSH7,100.0,"['98.0', '86.0', '108', '97', '98']",97.4,6.974238309665077,comput,"['[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]']"
CSH7,200.0,"['137.0', '128.0', '158.0', '144.0', '123.0', '107.0', '138.0', '120.0', '137', '123']",131.5,13.603308421115798,comput,"['[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]']"
CSH7,300.0,"['85', '66']",75.5,9.5,comput,"['[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]']"
CSH7,150.0,"['152.0', '143.0', '194.0', '181.0', '122.0', '116.0', '170.0', '157.0', '152', '122']",150.9,24.736410410566847,comput,"['[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]', '[10.1103/PhysRevB.101.134504]']"
CSH7,250.0,['95'],95.0,0.0,comput,['[10.1103/PhysRevB.101.134504]']
TcH2,100.0,"[5.42, 3.03]",4.225,1.195,comput,"['[10.1039/C6CP05702K]', '[10.1039/C6CP05702K]']"
TcH2,300.0,"[8.61, 5.05]",6.83,1.7799999999999998,comput,"['[10.1039/C6CP05702K]', '[10.1039/C6CP05702K]']"
TcH2,150.0,"[6.31, 3.58]",4.945,1.3649999999999998,comput,"['[10.1039/C6CP05702K]', '[10.1039/C6CP05702K]']"
TcH2,200.0,"[10.65, 6.73]",8.690000000000001,1.96,comput,"['[10.1039/C6CP05702K]', '[10.1039/C6CP05702K]']"
ScH12,300.0,"[157.0, 127.0, 165.0, 137.0]",146.5,15.190457530963313,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
CSH44,300.0,['113'],113.0,0.0,comput,['[10.1103/PhysRevB.105.134501]']
Zr4H15,40.0,[0.8],0.8,0.0,comput,['[10.1021/acs.jpclett.9b03632]']
LiPH7,300.0,"['43.5', '55.9']",49.7,6.199999999999999,comput,"['False_struct_infor_missing', 'False_struct_infor_missing']"
TiPH7,250.0,['51.32'],51.32,0.0,comput,['[10.1016/j.physleta.2019.126189]']
AsH8,400.0,[143.9],143.9,0.0,comput,['[10.1021/acs.chemmater.5b04638]']
AsH8,450.0,[151.4],151.4,0.0,comput,['[10.1021/acs.chemmater.5b04638]']
AsH8,350.0,[141.0],141.0,0.0,comput,['[10.1021/acs.chemmater.5b04638]']
TlHZr3,0.0,['3.49'],3.49,0.0,comput,['[10.1038/s41524-022-00817-4]']
CaCH5,450.0,['50'],50.0,0.0,comput,['[10.1038/s41598-022-10249-1]']
